address,choice,voting_power,timestamp,date_utc,author_ipfs_hash
0xe9553403a5b30aA4C1D08168aB5C0e8b56BF6f47,3,1,1672056481,"Mon, 26 Dec 2022 12:08:01 GMT",bafkreifgctkheyrvq4hziqsf4ur7b2rh3pssyzza57segs5estm5ncsqmq
0xd5844c4157a8C4F3C113328C5E24d510B4B31BE6,2,1,1672163622,"Tue, 27 Dec 2022 17:53:42 GMT",bafkreiemgvso25h6snxlzeu7xo3xlsbonvtsodg23dqzamq6svru4ftvru
0x425d040b3bac41CA49C980daCE7a4E332AFe2049,2,1,1672149962,"Tue, 27 Dec 2022 14:06:02 GMT",bafkreicsuxiskxrwo6zyg4xh56jyquvkl7dnlxclkwkz3dgjsq5ifqdxce
0x97fec670E5dE7ACE9e4860Dd70E1b85459eC5628,2,1,1672036267,"Mon, 26 Dec 2022 06:31:07 GMT",bafkreibsr5nfdwk7n7nhvevcacxbmlvh4pdnnqrufpzgxhm5kjmy2ip77e
0xE1081FE473ed0FC8F1173f1C7047aBB9Ea5c7D2f,2,1,1672146871,"Tue, 27 Dec 2022 13:14:31 GMT",bafkreibtnqglih4sbnemiqyhxlcrek5ffhgztzdwwffwqt4v5x4fa7epli
0xC051B1F4965dc433389bA8f87A4BA86ef9e64c80,2,1,1672056707,"Mon, 26 Dec 2022 12:11:47 GMT",bafkreib5ttveo3hchw4b5nculfzsj67jo5qb6gwx43rqqguc37nqc6ut34
0xC75Bd6210B5DC1CB97E7f04E864becaebF6a6242,2,1,1672123680,"Tue, 27 Dec 2022 06:48:00 GMT",bafkreicgfcu5qvnkclru7c6ucug4tsh2i7rwdof2jtvz7237lsdbtvc3re
0x29Ea2Ccae52AAB7EDE1E78A63bD907C7354deea5,1,1,1672058623,"Mon, 26 Dec 2022 12:43:43 GMT",bafkreibzl2buh5z563ibq6u6yesegesvth4wpteawbawl5bbba3bmfxfca
0x663C48085046cDEda45CE8dCEB2cd27673F2Fc11,1,1,1672048453,"Mon, 26 Dec 2022 09:54:13 GMT",bafkreib37qwvliuuj6heudjwekvqbrepx35p5c7p6lof62jgtiiin7rm44
0x8257b5c80895913D5c57bBBDf1f228f1E44692d3,1,1,1672051667,"Mon, 26 Dec 2022 10:47:47 GMT",bafkreid7z6xgqhzz66uwpwmwl37nno4slveyvsrckl3exvbpm6xxldre74
